,fscore,num_signal,2024-07-31 00:00:00,2024-07-30 00:00:00,2024-07-29 00:00:00,2024-07-26 00:00:00,2024-07-23 00:00:00
DIF_MACD(日)連續三期(1d)向上趨勢,0.2131546894025402,-2147481897,0,0,0,0,0
DIF_MACD(日)連續三期(1d)向下趨勢,0.21001615508825391,-2147481783,0,0,1,1,1
"交叉向上(RSI(日,5),RSI(日,10))",0.19766631835514378,-2147482514,0,0,0,0,0
交叉向上_Kd(日),0.1947261663276763,-2147482717,0,0,0,0,0
"交叉向下(RSI(日,5),RSI(日,10))",0.18887015176984748,-2147482467,0,0,0,1,0
交叉向下_Kd(日),0.1805825242709478,-2147482662,0,0,0,0,0
DIF_MACD(週)連續三期(5d)向下趨勢,0.1803874091999346,-2147482917,1,0,0,0,0
DIF_MACD(週)連續三期(5d)向上趨勢,0.1725565985632183,-2147483044,0,0,0,0,0
"交叉向下(RSI(週,5),RSI(週,10))",0.13720392836397163,-2147483084,0,0,0,0,0
"交叉向上(RSI(週,5),RSI(週,10))",0.12582384661358537,-2147483115,0,0,0,0,0
subindex_signal,0.23356401384058892,5623,1,0,1,2,1
